Name,Card,POS,VAL,Hand,CapValue,pwOBA,pwOBA_vL,pwOBA_vR,BBpct,SOpct,HRpct,BABIP,XBHpct
Matt Carpenter,Clubhouse - Baseball Reference 8 3B STL 2015,3B,74,L,38.9,.396,.379,.409,13.8,14.4,4.3,.301,28.0
Jack Cust,Clubhouse - Baseball Reference 8 LF ATH 2008,LF,63,L,37.2,.379,.376,.381,15.5,20.1,5.0,.286,14.6
Luther Farrell,NeL Monday 1 - Negro League Star SP ACBG 1928,P,66,L,29.5,.370,.357,.380,11.1,13.2,4.2,.297,12.3
Miguel Cabrera,PTCS 6 - Historical All-Star RF FLO 2004,RF,72,R,28.6,.371,.361,.379,11.5,13.5,4.2,.290,17.5
Brad Hawpe,Clubhouse - Baseball Reference 5 RF COL 2009,RF,70,L,28.0,.361,.327,.386,11.3,15.8,3.4,.293,24.7
Dick McAuliffe,PTWC 65th-128th - Historical All-Star SS DET 1966,SS,68,L,27.7,.365,.346,.379,13.1,13.2,3.5,.278,24.1
Phil Garner,PTWC 3rd Place 2B PIT 1979,2B,69,R,27.3,.370,.370,.369,11.5,10.2,1.9,.312,26.6
Leon Durham,Limited Edition/86 1B CHC 1984,1B,68,L,25.1,.360,.338,.376,12.5,15.2,3.2,.288,24.1
Jonathan Schoop,Limited Edition/67 2B BAL 2017,2B,67,R,25.1,.362,.380,.350,6.7,12.3,3.7,.306,20.9
Mark Bellhorn,Clubhouse - SwitchKnucklers - Super Utility 2B CHC 2002,2B,64,S,24.9,.356,.378,.340,12.3,18.3,3.0,.303,21.2
Earl Webb,PTCS 3 - Baseball Reference 2 RF BOS 1931,RF,72,L,24.4,.363,.364,.362,9.3,12.8,2.7,.306,28.0
Mike Piazza,PTMS 2 C SD 2006,C,72,R,23.4,.361,.391,.339,9.2,11.0,4.2,.279,18.6
Joe Charboneau,Clubhouse - Rookie Sensation LF CLE 1980,LF,72,R,23.4,.361,.393,.338,9.0,13.4,4.7,.282,15.6
Steve Pearce,Trade Deadliners - Baseball Reference 6 1B TB 2016,1B,69,R,23.2,.362,.384,.346,12.6,11.2,3.6,.278,17.0
Willie Randolph,T4 Ep. 10 - Historical All-Star 2B LAD 1989,2B,60,R,22.9,.342,.351,.336,12.4,7.0,0.8,.300,13.6
Tim Corcoran,Clubhouse - Unsung Heroes 1B PHI 1984,1B,64,L,22.8,.352,.320,.374,13.1,15.2,1.3,.316,22.1
Dick Stuart,50s Theme Week - Snapshot 1B PIT 1959,1B,74,R,22.7,.365,.388,.348,9.7,18.0,4.8,.295,17.9
Mitch Webster,Limited Edition/52 CF MON 1986,CF,72,S,22.3,.359,.365,.354,9.4,9.9,1.7,.308,27.2
Jett Williams,FLF 22 & Co. - Future Legend 2B MIL 2026,2B,62,R,22.0,.349,.370,.334,13.1,12.7,2.3,.276,28.5
Ray Caldwell,Laptophound Summer Classic: 9th-16th SP NYY 1918,P,64,L,21.8,.350,.319,.373,7.5,14.6,2.7,.304,28.0
Santiago Espinal,PTMS 2 2B TOR 2022,2B,55,R,21.7,.340,.337,.342,8.9,7.8,0.9,.305,21.6
Dan Uggla,PTCS 6 - Rookie Sensation 2B FLO 2006,2B,59,R,21.2,.342,.344,.341,8.8,13.8,3.3,.285,19.2
Armando Rios,September Stars - Baseball Reference 8 RF SF 1999,RF,66,L,21.2,.354,.348,.358,12.3,14.6,3.4,.283,16.1
Tom Brown,FLF 23 & Co. - Baseball Reference 8 CF BS2 1891,CF,66,L,21.2,.354,.342,.362,9.5,14.2,1.8,.317,27.2
Aiva Arquette,FLF 24 - Future Legend SS MIA 2026,SS,71,R,21.2,.359,.364,.354,7.4,11.7,3.7,.289,25.8
Jesse Barfield,Laptophound Summer Classic: 2nd RF TOR 1984,RF,69,R,21.1,.358,.367,.351,9.2,14.1,3.8,.293,18.4
Aaron Hicks,Limited Edition/122 CF NYY 2020,CF,63,S,21.0,.348,.341,.354,15.2,9.4,2.1,.262,22.9
Jason Castro,Clubhouse - Baseball Reference 5 C HOU 2013,C,68,L,20.9,.352,.339,.361,9.2,16.8,3.3,.304,20.2
Ed Morgan,July Jewels - Baseball Reference 4 RF CLE 1929,RF,66,R,20.7,.353,.359,.349,11.8,11.9,1.1,.310,27.6
Ron Santo,Laptophound Summer Classic: 33rd-64th 3B CHC 1973,3B,56,R,20.3,.339,.322,.352,9.2,14.1,3.6,.267,23.2
Jack Tobin,Clubhouse - Baseball Reference 8 RF SLA 1920,RF,61,L,20.3,.337,.309,.358,7.3,8.0,1.0,.312,19.8
Gus Bell,Limited Edition/63 CF CIN 1955,CF,70,L,20.2,.346,.308,.374,6.9,10.4,3.4,.282,21.2
Alfonso Soriano,T4 Ep. 9 - Baseball Reference 8 2B NYY 2003,2B,66,R,20.1,.352,.374,.336,6.4,13.7,4.0,.287,24.6
Dave Henderson,Clubhouse - Snapshot CF ATH 1989,CF,50,R,20.0,.327,.344,.313,8.5,13.7,2.5,.282,19.3
